Seção;Subclasse;Denominação
A;0111-3/01;Cultivo de arroz
A;0111-3/02;Cultivo de milho
A;0111-3/03;Cultivo de trigo
A;0111-3/99;Cultivo de outros cereais não especificados anteriormente
A;0112-1/01;Cultivo de algodão herbáceo
A;0112-1/02;Cultivo de juta
A;0112-1/99;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
A;0113-0/00;Cultivo de cana-de-açúcar
A;0114-8/00;Cultivo de fumo
A;0115-6/00;Cultivo de soja
A;0116-4/01;Cultivo de amendoim
A;0116-4/02;Cultivo de girassol
A;0116-4/03;Cultivo de mamona
A;0116-4/99;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente
A;0119-9/01;Cultivo de abacaxi
A;0119-9/02;Cultivo de alho
A;0119-9/03;Cultivo de batata-inglesa
A;0119-9/04;Cultivo de cebola
A;0119-9/05;Cultivo de feijão
A;0119-9/06;Cultivo de mandioca
A;0119-9/07;Cultivo de melão
A;0119-9/08;Cultivo de melancia
A;0119-9/09;Cultivo de tomate rasteiro
A;0119-9/99;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
A;0121-1/01;Horticultura, exceto morango
A;0121-1/02;Cultivo de morango
A;0122-9/00;Cultivo de flores e plantas ornamentais
A;0131-8/00;Cultivo de laranja
A;0132-6/00;Cultivo de uva
A;0133-4/01;Cultivo de açaí
A;0133-4/02;Cultivo de banana
A;0133-4/03;Cultivo de caju
A;0133-4/04;Cultivo de cítricos, exceto laranja
A;0133-4/05;Cultivo de coco-da-baía
A;0133-4/06;Cultivo de guaraná
A;0133-4/07;Cultivo de maçã
A;0133-4/08;Cultivo de mamão
A;0133-4/09;Cultivo de maracujá
A;0133-4/10;Cultivo de manga
A;0133-4/11;Cultivo de pêssego
A;0133-4/99;Cultivo de frutas de lavoura permanente não especificadas anteriormente
A;0134-2/00;Cultivo de café
A;0135-1/00;Cultivo de cacau
A;0139-3/01;Cultivo de chá-da-índia
A;0139-3/02;Cultivo de erva-mate
A;0139-3/03;Cultivo de pimenta-do-reino
A;0139-3/04;Cultivo de plantas para condimento, exceto pimenta-do-reino
A;0139-3/05;Cultivo de dendê
A;0139-3/06;Cultivo de seringueira
A;0139-3/99;Cultivo de outras plantas de lavoura permanente não especificadas anteriormente
A;0141-5/01;Produção de sementes certificadas, exceto de forrageiras para pasto
A;0141-5/02;Produção de sementes certificadas de forrageiras para formação de pasto
A;0142-3/00;Produção de mudas e outras formas de propagação vegetal, certificadas
A;0151-2/01;Criação de bovinos para corte
A;0151-2/02;Criação de bovinos para leite
A;0151-2/03;Criação de bovinos, exceto para corte e leite
A;0152-1/01;Criação de bufalinos
A;0152-1/02;Criação de eqüinos
A;0152-1/03;Criação de asininos e muares
A;0153-9/01;Criação de caprinos
A;0153-9/02;Criação de ovinos, inclusive para produção de lã
A;0154-7/00;Criação de suínos
A;0155-5/01;Criação de frangos para corte
A;0155-5/02;Produção de pintos de um dia
A;0155-5/03;Criação de outros galináceos, exceto para corte
A;0155-5/04;Criação de aves, exceto galináceos
A;0155-5/05;Produção de ovos
A;0159-8/01;Apicultura
A;0159-8/02;Criação de animais de estimação
A;0159-8/03;Criação de escargô
A;0159-8/04;Criação de bicho-da-seda
A;0159-8/99;Criação de outros animais não especificados anteriormente
A;0161-0/01;Serviço de pulverização e controle de pragas agrícolas
A;0161-0/02;Serviço de poda de árvores para lavouras
A;0161-0/03;Serviço de preparação de terreno, cultivo e colheita
A;0161-0/99;Atividades de apoio à agricultura não especificadas anteriormente
A;0162-8/01;Serviço de inseminação artificial em animais
A;0162-8/02;Serviço de tosquiamento de ovinos
A;0162-8/03;Serviço de manejo de animais
A;0162-8/99;Atividades de apoio à pecuária não especificadas anteriormente
A;0163-6/00;Atividades de pós-colheita
A;0170-9/00;Caça e serviços relacionados
A;0210-1/01;Cultivo de eucalipto
A;0210-1/02;Cultivo de acácia-negra
A;0210-1/03;Cultivo de pinus
A;0210-1/04;Cultivo de teca
A;0210-1/05;Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca
A;0210-1/06;Cultivo de mudas em viveiros florestais
A;0210-1/07;Extração de madeira em florestas plantadas
A;0210-1/08;Produção de carvão vegetal - florestas plantadas
A;0210-1/09;Produção de casca de acácia-negra - florestas plantadas
A;0210-1/99;Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas
A;0220-9/01;Extração de madeira em florestas nativas
A;0220-9/02;Produção de carvão vegetal - florestas nativas
A;0220-9/03;Coleta de castanha-do-pará em florestas nativas
A;0220-9/04;Coleta de látex em florestas nativas
A;0220-9/05;Coleta de palmito em florestas nativas
A;0220-9/06;Conservação de florestas nativas
A;0220-9/99;Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas
A;0230-6/00;Atividades de apoio à produção florestal
A;0311-6/01;Pesca de peixes em água salgada
A;0311-6/02;Pesca de crustáceos e moluscos em água salgada
A;0311-6/03;Coleta de outros produtos marinhos
A;0311-6/04;Atividades de apoio à pesca em água salgada
A;0312-4/01;Pesca de peixes em água doce
A;0312-4/02;Pesca de crustáceos e moluscos em água doce
A;0312-4/03;Coleta de outros produtos aquáticos de água doce
A;0312-4/04;Atividades de apoio à pesca em água doce
A;0321-3/01;Criação de peixes em água salgada e salobra
A;0321-3/02;Criação de camarões em água salgada e salobra
A;0321-3/03;Criação de ostras e mexilhões em água salgada e salobra
A;0321-3/04;Criação de peixes ornamentais em água salgada e salobra
A;0321-3/05;Atividades de apoio à aqüicultura em água salgada e salobra
A;0321-3/99;Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente
A;0322-1/01;Criação de peixes em água doce
A;0322-1/02;Criação de camarões em água doce
A;0322-1/03;Criação de ostras e mexilhões em água doce
A;0322-1/04;Criação de peixes ornamentais em água doce
A;0322-1/05;Ranicultura
A;0322-1/06;Criação de jacaré
A;0322-1/07;Atividades de apoio à aqüicultura em água doce
A;0322-1/99;Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente
B;0500-3/01;Extração de carvão mineral
B;0500-3/02;Beneficiamento de carvão mineral
B;0600-0/01;Extração de petróleo e gás natural
B;0600-0/02;Extração e beneficiamento de xisto
B;0600-0/03;Extração e beneficiamento de areias betuminosas
B;0710-3/01;Extração de minério de ferro
B;0710-3/02;Pelotização, sinterização e outros beneficiamentos de minério de ferro
B;0721-9/01;Extração de minério de alumínio
B;0721-9/02;Beneficiamento de minério de alumínio
B;0722-7/01;Extração de minério de estanho
B;0722-7/02;Beneficiamento de minério de estanho
B;0723-5/01;Extração de minério de manganês
B;0723-5/02;Beneficiamento de minério de manganês
B;0724-3/01;Extração de minério de metais preciosos
B;0724-3/02;Beneficiamento de minério de metais preciosos
B;0725-1/00;Extração de minerais radioativos
B;0729-4/01;Extração de minérios de nióbio e titânio
B;0729-4/02;Extração de minério de tungstênio
B;0729-4/03;Extração de minério de níquel
B;0729-4/04;Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente
B;0729-4/05;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente
B;0810-0/01;Extração de ardósia e beneficiamento associado
B;0810-0/02;Extração de granito e beneficiamento associado
B;0810-0/03;Extração de mármore e beneficiamento associado
B;0810-0/04;Extração de calcário e dolomita e beneficiamento associado
B;0810-0/05;Extração de gesso e caulim
B;0810-0/06;Extração de areia, cascalho ou pedregulho e beneficiamento associado
B;0810-0/07;Extração de argila e beneficiamento associado
B;0810-0/08;Extração de saibro e beneficiamento associado
B;0810-0/09;Extração de basalto e beneficiamento associado
B;0810-0/10;Beneficiamento de gesso e caulim associado à extração
B;0810-0/99;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado
B;0891-6/00;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos
B;0892-4/01;Extração de sal marinho
B;0892-4/02;Extração de sal-gema
B;0892-4/03;Refino e outros tratamentos do sal
B;0893-2/00;Extração de gemas (pedras preciosas e semipreciosas)
B;0899-1/01;Extração de grafita
B;0899-1/02;Extração de quartzo
B;0899-1/03;Extração de amianto
B;0899-1/99;Extração de outros minerais não-metálicos não especificados anteriormente
B;0910-6/00;Atividades de apoio à extração de petróleo e gás natural
B;0990-4/01;Atividades de apoio à extração de minério de ferro
B;0990-4/02;Atividades de apoio à extração de minerais metálicos não-ferrosos
B;0990-4/03;Atividades de apoio à extração de minerais não-metálicos
C;1011-2/01;Frigorífico - abate de bovinos
C;1011-2/02;Frigorífico - abate de eqüinos
C;1011-2/03;Frigorífico - abate de ovinos e caprinos
C;1011-2/04;Frigorífico - abate de bufalinos
C;1011-2/05;Matadouro - abate de reses sob contrato, exceto abate de suínos
C;1012-1/01;Abate de aves
C;1012-1/02;Abate de pequenos animais
C;1012-1/03;Frigorífico - abate de suínos
C;1012-1/04;Matadouro - abate de suínos sob contrato
C;1013-9/01;Fabricação de produtos de carne
C;1013-9/02;Preparação de subprodutos do abate
C;1020-1/01;Preservação de peixes, crustáceos e moluscos
C;1020-1/02;Fabricação de conservas de peixes, crustáceos e moluscos
C;1031-7/00;Fabricação de conservas de frutas
C;1032-5/01;Fabricação de conservas de palmito
C;1032-5/99;Fabricação de conservas de legumes e outros vegetais, exceto palmito
C;1033-3/01;Fabricação de sucos concentrados de frutas, hortaliças e legumes
C;1033-3/02;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados
C;1041-4/00;Fabricação de óleos vegetais em bruto, exceto óleo de milho
C;1042-2/00;Fabricação de óleos vegetais refinados, exceto óleo de milho
C;1043-1/00;Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
C;1051-1/00;Preparação do leite
C;1052-0/00;Fabricação de laticínios
C;1053-8/00;Fabricação de sorvetes e outros gelados comestíveis
C;1061-9/01;Beneficiamento de arroz
C;1061-9/02;Fabricação de produtos do arroz
C;1062-7/00;Moagem de trigo e fabricação de derivados
C;1063-5/00;Fabricação de farinha de mandioca e derivados
C;1064-3/00;Fabricação de farinha de milho e derivados, exceto óleos de milho
C;1065-1/01;Fabricação de amidos e féculas de vegetais
C;1065-1/02;Fabricação de óleo de milho em bruto
C;1065-1/03;Fabricação de óleo de milho refinado
C;1066-0/00;Fabricação de alimentos para animais
C;1069-4/00;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente
C;1071-6/00;Fabricação de açúcar em bruto
C;1072-4/01;Fabricação de açúcar de cana refinado
C;1072-4/02;Fabricação de açúcar de cereais (dextrose) e de beterraba
C;1081-3/01;Beneficiamento de café
C;1081-3/02;Torrefação e moagem de café
C;1082-1/00;Fabricação de produtos à base de café
C;1091-1/01;Fabricação de produtos de panificação Industrial
C;1091-1/02;Fabricação de produtos de padaria e confeitaria com predominância de produção própria
C;1092-9/00;Fabricação de biscoitos e bolachas
C;1093-7/01;Fabricação de produtos derivados do cacau e de chocolates
C;1093-7/02;Fabricação de frutas cristalizadas, balas e semelhantes
C;1094-5/00;Fabricação de massas alimentícias
C;1095-3/00;Fabricação de especiarias, molhos, temperos e condimentos
C;1096-1/00;Fabricação de alimentos e pratos prontos
C;1099-6/01;Fabricação de vinagres
C;1099-6/02;Fabricação de pós alimentícios
C;1099-6/03;Fabricação de fermentos e leveduras
C;1099-6/04;Fabricação de gelo comum
C;1099-6/05;Fabricação de produtos para infusão (chá, mate, etc.)
C;1099-6/06;Fabricação de adoçantes naturais e artificiais
C;1099-6/07;Fabricação de alimentos dietéticos e complementos alimentares
C;1099-6/99;Fabricação de outros produtos alimentícios não especificados anteriormente
C;1111-9/01;Fabricação de aguardente de cana-de-açúcar
C;1111-9/02;Fabricação de outras aguardentes e bebidas destiladas
C;1112-7/00;Fabricação de vinho
C;1113-5/01;Fabricação de malte, inclusive malte uísque
C;1113-5/02;Fabricação de cervejas e chopes
C;1121-6/00;Fabricação de águas envasadas
C;1122-4/01;Fabricação de refrigerantes
C;1122-4/02;Fabricação de chá mate e outros chás prontos para consumo
C;1122-4/03;Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas
C;1122-4/04;Fabricação de bebidas isotônicas
C;1122-4/99;Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente
C;1210-7/00;Processamento industrial do fumo
C;1220-4/01;Fabricação de cigarros
C;1220-4/02;Fabricação de cigarrilhas e charutos
C;1220-4/03;Fabricação de filtros para cigarros
C;1220-4/99;Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos
C;1311-1/00;Preparação e fiação de fibras de algodão
C;1312-0/00;Preparação e fiação de fibras têxteis naturais, exceto algodão
C;1313-8/00;Fiação de fibras artificiais e sintéticas
C;1314-6/00;Fabricação de linhas para costurar e bordar
C;1321-9/00;Tecelagem de fios de algodão
C;1322-7/00;Tecelagem de fios de fibras têxteis naturais, exceto algodão
C;1323-5/00;Tecelagem de fios de fibras artificiais e sintéticas
C;1330-8/00;Fabricação de tecidos de malha
C;1340-5/01;Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário
C;1340-5/02;Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário
C;1340-5/99;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário
C;1351-1/00;Fabricação de artefatos têxteis para uso doméstico
C;1352-9/00;Fabricação de artefatos de tapeçaria
C;1353-7/00;Fabricação de artefatos de cordoaria
C;1354-5/00;Fabricação de tecidos especiais, inclusive artefatos
C;1359-6/00;Fabricação de outros produtos têxteis não especificados anteriormente
C;1411-8/01;Confecção de roupas íntimas
C;1411-8/02;Facção de roupas íntimas
C;1412-6/01;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
C;1412-6/02;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas
C;1412-6/03;Facção de peças do vestuário, exceto roupas íntimas
C;1413-4/01;Confecção de roupas profissionais, exceto sob medida
C;1413-4/02;Confecção, sob medida, de roupas profissionais
C;1413-4/03;Facção de roupas profissionais
C;1414-2/00;Fabricação de acessórios do vestuário, exceto para segurança e proteção
C;1421-5/00;Fabricação de meias
C;1422-3/00;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias
C;1510-6/00;Curtimento e outras preparações de couro
C;1521-1/00;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material
C;1529-7/00;Fabricação de artefatos de couro não especificados anteriormente
C;1531-9/01;Fabricação de calçados de couro
C;1531-9/02;Acabamento de calçados de couro sob contrato
C;1532-7/00;Fabricação de tênis de qualquer material
C;1533-5/00;Fabricação de calçados de material sintético
C;1539-4/00;Fabricação de calçados de materiais não especificados anteriormente
C;1540-8/00;Fabricação de partes para calçados, de qualquer material
C;1610-2/01;Serrarias com desdobramento de madeira
C;1610-2/02;Serrarias sem desdobramento de madeira
C;1621-8/00;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada
C;1622-6/01;Fabricação de casas de madeira pré-fabricadas
C;1622-6/02;Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais
C;1622-6/99;Fabricação de outros artigos de carpintaria para construção
C;1623-4/00;Fabricação de artefatos de tanoaria e de embalagens de madeira
C;1629-3/01;Fabricação de artefatos diversos de madeira, exceto móveis
C;1629-3/02;Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis
C;1710-9/00;Fabricação de celulose e outras pastas para a fabricação de papel
C;1721-4/00;Fabricação de papel
C;1722-2/00;Fabricação de cartolina e papel-cartão
C;1731-1/00;Fabricação de embalagens de papel
C;1732-0/00;Fabricação de embalagens de cartolina e papel-cartão
C;1733-8/00;Fabricação de chapas e de embalagens de papelão ondulado
C;1741-9/01;Fabricação de formulários contínuos
C;1741-9/02;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório
C;1742-7/01;Fabricação de fraldas descartáveis
C;1742-7/02;Fabricação de absorventes higiênicos
C;1742-7/99;Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente
C;1749-4/00;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente
C;1811-3/01;Impressão de jornais
C;1811-3/02;Impressão de livros, revistas e outras publicações periódicas
C;1812-1/00;Impressão de material de segurança
C;1813-0/01;Impressão de material para uso publicitário
C;1813-0/99;Impressão de material para outros usos
C;1821-1/00;Serviços de pré-impressão
C;1822-9/01;Serviços de encadernação e plastificação
C;1822-9/99;Serviços de acabamentos gráficos, exceto encadernação e plastificação
C;1830-0/01;Reprodução de som em qualquer suporte
C;1830-0/02;Reprodução de vídeo em qualquer suporte
C;1830-0/03;Reprodução de software em qualquer suporte
C;1910-1/00;Coquerias
C;1921-7/00;Fabricação de produtos do refino de petróleo
C;1922-5/01;Formulação de combustíveis
C;1922-5/02;Rerrefino de óleos lubrificantes
C;1922-5/99;Fabricação de outros produtos derivados do petróleo, exceto produtos do refino
C;1931-4/00;Fabricação de álcool
C;1932-2/00;Fabricação de biocombustíveis, exceto álcool
C;2011-8/00;Fabricação de cloro e álcalis
C;2012-6/00;Fabricação de intermediários para fertilizantes
C;2013-4/00;Fabricação de adubos e fertilizantes
C;2014-2/00;Fabricação de gases industriais
C;2019-3/01;Elaboração de combustíveis nucleares
C;2019-3/99;Fabricação de outros produtos químicos inorgânicos não especificados anteriormente
C;2021-5/00;Fabricação de produtos petroquímicos básicos
C;2022-3/00;Fabricação de intermediários para plastificantes, resinas e fibras
C;2029-1/00;Fabricação de produtos químicos orgânicos não especificados anteriormente
C;2031-2/00;Fabricação de resinas termoplásticas
C;2032-1/00;Fabricação de resinas termofixas
C;2033-9/00;Fabricação de elastômeros
C;2040-1/00;Fabricação de fibras artificiais e sintéticas
C;2051-7/00;Fabricação de defensivos agrícolas
C;2052-5/00;Fabricação de desinfestantes domissanitários
C;2061-4/00;Fabricação de sabões e detergentes sintéticos
C;2062-2/00;Fabricação de produtos de limpeza e polimento
C;2063-1/00;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal
C;2071-1/00;Fabricação de tintas, vernizes, esmaltes e lacas
C;2072-0/00;Fabricação de tintas de impressão
C;2073-8/00;Fabricação de impermeabilizantes, solventes e produtos afins
C;2091-6/00;Fabricação de adesivos e selantes
C;2092-4/01;Fabricação de pólvoras, explosivos e detonantes
C;2092-4/02;Fabricação de artigos pirotécnicos
C;2092-4/03;Fabricação de fósforos de segurança
C;2093-2/00;Fabricação de aditivos de uso industrial
C;2094-1/00;Fabricação de catalisadores
C;2099-1/01;Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia
C;2099-1/99;Fabricação de outros produtos químicos não especificados anteriormente
C;2110-6/00;Fabricação de produtos farmoquímicos
C;2121-1/01;Fabricação de medicamentos alopáticos para uso humano
C;2121-1/02;Fabricação de medicamentos homeopáticos para uso humano
C;2121-1/03;Fabricação de medicamentos fitoterápicos para uso humano
C;2122-0/00;Fabricação de medicamentos para uso veterinário
C;2123-8/00;Fabricação de preparações farmacêuticas
C;2211-1/00;Fabricação de pneumáticos e de câmaras-de-ar
C;2212-9/00;Reforma de pneumáticos usados
C;2219-6/00;Fabricação de artefatos de borracha não especificados anteriormente
C;2221-8/00;Fabricação de laminados planos e tubulares de material plástico
C;2222-6/00;Fabricação de embalagens de material plástico
C;2223-4/00;Fabricação de tubos e acessórios de material plástico para uso na construção
C;2229-3/01;Fabricação de artefatos de material plástico para uso pessoal e doméstico
C;2229-3/02;Fabricação de artefatos de material plástico para usos industriais
C;2229-3/03;Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios
C;2229-3/99;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente
C;2311-7/00;Fabricação de vidro plano e de segurança
C;2312-5/00;Fabricação de embalagens de vidro
C;2319-2/00;Fabricação de artigos de vidro
C;2320-6/00;Fabricação de cimento
C;2330-3/01;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda
C;2330-3/02;Fabricação de artefatos de cimento para uso na construção
C;2330-3/03;Fabricação de artefatos de fibrocimento para uso na construção
C;2330-3/04;Fabricação de casas pré-moldadas de concreto
C;2330-3/05;Preparação de massa de concreto e argamassa para construção
C;2330-3/99;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes
C;2341-9/00;Fabricação de produtos cerâmicos refratários
C;2342-7/01;Fabricação de azulejos e pisos
C;2342-7/02;Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos
C;2349-4/01;Fabricação de material sanitário de cerâmica
C;2349-4/99;Fabricação de produtos cerâmicos não-refratários não especificados anteriormente
C;2391-5/01;Britamento de pedras, exceto associado à extração
C;2391-5/02;Aparelhamento de pedras para construção, exceto associado à extração
C;2391-5/03;Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras
C;2392-3/00;Fabricação de cal e gesso
C;2399-1/01;Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal
C;2399-1/02;Fabricação de abrasivos
C;2399-1/99;Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente
C;2411-3/00;Produção de ferro-gusa
C;2412-1/00;Produção de ferroligas
C;2421-1/00;Produção de semi-acabados de aço
C;2422-9/01;Produção de laminados planos de aço ao carbono, revestidos ou não
C;2422-9/02;Produção de laminados planos de aços especiais
C;2423-7/01;Produção de tubos de aço sem costura
C;2423-7/02;Produção de laminados longos de aço, exceto tubos
C;2424-5/01;Produção de arames de aço
C;2424-5/02;Produção de relaminados, trefilados e perfilados de aço, exceto arames
C;2431-8/00;Produção de tubos de aço com costura
C;2439-3/00;Produção de outros tubos de ferro e aço
C;2441-5/01;Produção de alumínio e suas ligas em formas primárias
C;2441-5/02;Produção de laminados de alumínio
C;2442-3/00;Metalurgia dos metais preciosos
C;2443-1/00;Metalurgia do cobre
C;2449-1/01;Produção de zinco em formas primárias
C;2449-1/02;Produção de laminados de zinco
C;2449-1/03;Produção de soldas e ânodos para galvanoplastia
C;2449-1/99;Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente
C;2451-2/00;Fundição de ferro e aço
C;2452-1/00;Fundição de metais não-ferrosos e suas ligas
C;2511-0/00;Fabricação de estruturas metálicas
C;2512-8/00;Fabricação de esquadrias de metal
C;2513-6/00;Fabricação de obras de caldeiraria pesada
C;2521-7/00;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central
C;2522-5/00;Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos
C;2531-4/01;Produção de forjados de aço
C;2531-4/02;Produção de forjados de metais não-ferrosos e suas ligas
C;2532-2/01;Produção de artefatos estampados de metal
C;2532-2/02;Metalurgia do pó
C;2539-0/01;Serviços de usinagem, tornearia e solda
C;2539-0/02;Serviços de tratamento e revestimento em metais
C;2541-1/00;Fabricação de artigos de cutelaria
C;2542-0/00;Fabricação de artigos de serralheria, exceto esquadrias
C;2543-8/00;Fabricação de ferramentas
C;2550-1/01;Fabricação de equipamento bélico pesado, exceto veículos militares de combate
C;2550-1/02;Fabricação de armas de fogo, outras armas e munições
C;2591-8/00;Fabricação de embalagens metálicas
C;2592-6/01;Fabricação de produtos de trefilados de metal padronizados
C;2592-6/02;Fabricação de produtos de trefilados de metal, exceto padronizados
C;2593-4/00;Fabricação de artigos de metal para uso doméstico e pessoal
C;2599-3/01;Serviços de confecção de armações metálicas para a construção
C;2599-3/02;Serviço de corte e dobra de metais
C;2599-3/99;Fabricação de outros produtos de metal não especificados anteriormente
C;2610-8/00;Fabricação de componentes eletrônicos
C;2621-3/00;Fabricação de equipamentos de informática
C;2622-1/00;Fabricação de periféricos para equipamentos de informática
C;2631-1/00;Fabricação de equipamentos transmissores de comunicação, peças e acessórios
C;2632-9/00;Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios
C;2640-0/00;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo
C;2651-5/00;Fabricação de aparelhos e equipamentos de medida, teste e controle
C;2652-3/00;Fabricação de cronômetros e relógios
C;2660-4/00;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
C;2670-1/01;Fabricação de equipamentos e instrumentos ópticos, peças e acessórios
C;2670-1/02;Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios
C;2680-9/00;Fabricação de mídias virgens, magnéticas e ópticas
C;2710-4/01;Fabricação de geradores de corrente contínua e alternada, peças e acessórios
C;2710-4/02;Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios
C;2710-4/03;Fabricação de motores elétricos, peças e acessórios
C;2721-0/00;Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores
C;2722-8/01;Fabricação de baterias e acumuladores para veículos automotores
C;2722-8/02;Recondicionamento de baterias e acumuladores para veículos automotores
C;2731-7/00;Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica
C;2732-5/00;Fabricação de material elétrico para instalações em circuito de consumo
C;2733-3/00;Fabricação de fios, cabos e condutores elétricos isolados
C;2740-6/01;Fabricação de lâmpadas
C;2740-6/02;Fabricação de luminárias e outros equipamentos de iluminação
C;2751-1/00;Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios
C;2759-7/01;Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios
C;2759-7/99;Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios
C;2790-2/01;Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores
C;2790-2/02;Fabricação de equipamentos para sinalização e alarme
C;2790-2/99;Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente
C;2811-9/00;Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários
C;2812-7/00;Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas
C;2813-5/00;Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios
C;2814-3/01;Fabricação de compressores para uso industrial, peças e acessórios
C;2814-3/02;Fabricação de compressores para uso não-industrial, peças e acessórios
C;2815-1/01;Fabricação de rolamentos para fins industriais
C;2815-1/02;Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos
C;2821-6/01;Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios
C;2821-6/02;Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios
C;2822-4/01;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios
C;2822-4/02;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios
C;2823-2/00;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios
C;2824-1/01;Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial
C;2824-1/02;Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial
C;2825-9/00;Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios
